id,web_name,position,team,now_cost,form,gw_22_prob,gw_22_ep,in_lineup,is_captain,is_vice_captain
101,Flekken,GKP,Brentford,45,1.0,0.95,3.69,1,0,0
342,Aké,DEF,Man City,50,4.0,0.86,4.56,1,0,0
228,Guéhi,DEF,Crystal Palace,44,2.3,0.94,4.01,1,0,0
616,Gvardiol,DEF,Man City,48,2.7,0.85,4.0,1,0,0
688,Castagne,DEF,Fulham,45,1.3,0.94,3.51,1,0,0
664,Ward-Prowse,MID,West Ham,60,6.0,0.94,5.57,1,1,0
43,Douglas Luiz,MID,Aston Villa,56,5.0,0.94,5.12,1,0,1
362,Palmer,MID,Chelsea,58,9.3,0.93,4.93,1,0,0
591,Willian,MID,Fulham,53,1.3,0.79,4.33,1,0,0
542,Souček,MID,West Ham,49,4.7,0.94,4.06,1,0,0
135,João Pedro,FWD,Brighton,55,6.7,0.87,4.14,1,0,0
28,Turner,GKP,Nott'm Forest,39,2.3,0.95,3.19,0,0,0
473,Baldock,DEF,Sheffield Utd,38,0.3,0.65,2.18,0,0,0
490,Osula,FWD,Sheffield Utd,43,2.3,0.86,1.68,0,0,0
538,Mubama,FWD,West Ham,42,0.7,0.56,1.22,0,0,0
