id,web_name,position,element_type,team,gw_current,gw_next,now_cost,ep_next,chance_of_playing_next_round,in_lineup,is_captain,is_vice_captain
524,Areola,GKP,1,West Ham,21,22,42,8.0,100.0,1,0,1
321,Doughty,DEF,2,Luton,21,22,45,7.0,100.0,1,0,0
676,Mavropanos,DEF,2,West Ham,21,22,45,7.0,100.0,1,0,0
532,Emerson,DEF,2,West Ham,21,22,46,5.5,100.0,1,0,0
316,Bell,DEF,2,Luton,21,22,39,2.3,100.0,1,0,0
107,Lewis-Potter,MID,3,Brentford,21,22,47,3.7,100.0,1,0,0
244,André Gomes,MID,3,Everton,21,22,44,2.2,100.0,1,0,0
360,McAtee,MID,3,Sheffield Utd,21,22,44,1.8,100.0,1,0,0
388,Mainoo,MID,3,Man Utd,21,22,44,1.8,100.0,1,0,0
468,Wood,FWD,4,Nott'm Forest,21,22,49,9.0,100.0,1,1,0
490,Osula,FWD,4,Sheffield Utd,21,22,43,1.8,100.0,1,0,0
53,Olsen,GKP,1,Aston Villa,21,22,39,-0.5,100.0,0,0,0
157,Al-Dakhil,DEF,2,Burnley,21,22,38,-0.5,100.0,0,0,0
196,Chukwuemeka,MID,3,Chelsea,21,22,42,-0.3,100.0,0,0,0
340,Woodrow,FWD,4,Luton,21,22,43,-0.3,100.0,0,0,0
